Gov't Procurement,AU,NZ,US,PE,CL,MX,CA,SG,BN,MY,VN,JP
Subnational coverage,1,1,1,1,1,0,1,1,1,0,1,1
Market access for SMEs,0,1,0,1,1,1,1,0,0,0,0,0.5
