Labor,AU,NZ,US,PE,CL,MX,CA,SG,BN,MY,VN,JP
Dispute settlement,1,,1,0,0,0,0,0,0,0,0,0.5
Subnational coverage,0,1,0,1,1,0,0,1,1,0,1,1
Forced labor,1,1,1,1,1,0,1,1,1,1,1,1
