E-Commerce,AU,NZ,US,PE,CL,MX,CA,SG,BN,MY,VN,JP
Nondiscrimination for digital products,0.5,0.5,1,1,0.5,1,0.5,1,0.5,0.5,0.5,1
Dispute settlement,0.5,0.5,1,1,1,1,1,0,0,0,0,1
Software secure code,0.5,1,1,1,1,1,1,0.5,1,0.5,0.5,1
Privacy,1,1,0.5,1,1,1,1,1,1,1,1,1
Local server requirement,1,0.5,1,1,0.5,1,1,1,1,1,0,1
