Investment,AU,NZ,US,PE,CL,MX,CA,SG,BN,MY,VN,JP
Central Reserve Bank,1,1,0,1,1,1,1,1,1,1,1,1
DL600 Annex,0,1,0,1,1,0,0,0,1,1,0,0
Performance requirements,0.5,0.5,1,0,1,1,1,1,0.5,0.5,0.5,1
Land expropriation,1,1,0,1,1,1,1,1,1,1,1,0
List NCMs at subnational level,0,1,0,1,1,0,0,1,1,1,1,1
